,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,home_wins,away_wins,favorite_margin,primetime,team_favorite_id,favorite_cover,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,who_covered,day_week,primetime,winning_score,losing_score,win_margin,home_margin,away_margin,favorite_margin,home_favored_by,home_difference,home_cover,home_favorite_cover,home_dog_cover
84,10/14/79,1979,7,FALSE,IND,16,28,TEN,,,12,FALSE,TEN,TRUE,-6,36,Memorial Stadium (Baltimore),FALSE,46,13,62,,TEN,Sunday,FALSE,28,16,12,-12,12,12,-6,-6,FALSE,AWAY FAV,FALSE
85,10/14/79,1979,7,FALSE,CHI,7,27,NE,,,20,FALSE,NE,TRUE,-4,37,Soldier Field,FALSE,45,9,47,,NE,Sunday,FALSE,27,7,20,-20,20,20,-4,-16,FALSE,AWAY FAV,FALSE
86,10/14/79,1979,7,FALSE,CIN,34,10,PIT,,,-24,FALSE,PIT,FALSE,-10,39,Cinergy Field,FALSE,40,7,60,,CIN,Sunday,FALSE,34,10,24,24,-24,-24,-10,34,TRUE,AWAY FAV,TRUE
87,10/14/79,1979,7,FALSE,CLE,9,13,WAS,,,-4,FALSE,CLE,FALSE,-4,34,Cleveland Municipal Stadium,FALSE,44,12,76,,WAS,Sunday,FALSE,13,9,4,-4,4,-4,4,-8,FALSE,FALSE,HOME FAV
88,10/14/79,1979,7,FALSE,DAL,30,6,LAR,,,24,FALSE,DAL,TRUE,-3,39,Texas Stadium,FALSE,67,10,41,,DAL,Sunday,FALSE,30,6,24,24,-24,24,3,21,TRUE,TRUE,HOME FAV
89,10/14/79,1979,7,FALSE,GB,24,16,DET,,,8,FALSE,GB,TRUE,-4,36,Lambeau Field,FALSE,41,10,63,,GB,Sunday,FALSE,24,16,8,8,-8,8,4,4,TRUE,TRUE,HOME FAV
90,10/14/79,1979,7,FALSE,KC,10,24,DEN,,,14,FALSE,DEN,TRUE,-1,34,Arrowhead Stadium,FALSE,47,12,43,,DEN,Sunday,FALSE,24,10,14,-14,14,14,-1,-13,FALSE,AWAY FAV,FALSE
91,10/14/79,1979,7,FALSE,MIA,17,7,BUF,,,10,FALSE,MIA,TRUE,-6,40,Orange Bowl,FALSE,74,12,90,,MIA,Sunday,FALSE,17,7,10,10,-10,10,6,4,TRUE,TRUE,HOME FAV
92,10/14/79,1979,7,FALSE,NYG,32,16,SF,,,16,FALSE,NYG,TRUE,-4,38,Giants Stadium,FALSE,49,18,54,,NYG,Sunday,FALSE,32,16,16,16,-16,16,4,12,TRUE,TRUE,HOME FAV
93,10/14/79,1979,7,FALSE,LVR,50,19,ATL,,,31,FALSE,LVR,TRUE,-10,37,Oakland Coliseum,FALSE,68,9,80,,LVR,Sunday,FALSE,50,19,31,31,-31,31,10,21,TRUE,TRUE,HOME FAV
